cite,type,unit
Souva:2008aa,sups,13
Steinberg:2002aa,sups,13
Wagner:2000ad,,
Walter:2010aa,sups,13
Shannon:2010ac,,
Webb:1991aa,sups,13
Wu:2014aa,sups,13
AHMED:2012aa,refs,14
Baccini:2012aa,refs,14
Blanton:2007aa,refs,14
Dreher:2009aa,refs,14
Moon:2015aa,refs,14
STONE:2004aa,refs,14
Alesina:2000aa,sups,14
Bernhard:2002aa,sups,14
Bodea:2010aa,sups,14
Brooks:2012aa,sups,14
Heinrich:2013aa,sups,14
Nielsen:2011aa,sups,14
Tallberg:2014ac,,
Koremenos:2001ac,,
Quinn:2007aa,sups,14
Savun:2012aa,sups,14
Singer:2004aa,sups,14
Steinberg:2014aa,sups,14
Stone:2008aa,sups,14
LEBLANG:2010ab,,14
Singer:2004ab,,14
Bermeo:2015aa,refs,15
Brady:2014aa,refs,15
Dancygier:2013aa,refs,15
HAINMUELLER:2010ab,refs,15
MARGALIT:2012aa,refs,15
Mirilovic:2010aa,refs,15
Simmons:2010ac,,12
Barry:2014aa,sups,15
Bertocchi:2010aa,sups,15
BLOOM:2015aa,sups,15
Brader:2008aa,sups,15
Ehrlich:2013aa,sups,15
Esses:2010aa,sups,15
Conrad:2013ab,,12
FREEMAN:1986aa,sups,15
Wallace:2013ab,,12
Green:2009aa,sups,15
Hainmueller:2007aa,sups,15
Kibreab:2006aa,sups,15
Gowa:2005ab,,13
Knoll:2009aa,sups,15
LEBLANG:2010aa,sups,15
Mayda:2006aa,sups,15
OtextquotesingleRourke:2006aa,sups,15
Perez:2010aa,sups,15
Rocha:2015aa,sups,15
RUDOLPH:2003aa,sups,15
SINGER:2010aa,sups,15
SNIDERMAN:2004aa,sups,15
Marinov:2005aa,refs,16
Bernhard:1999aa,refs,17
GRANT:2005aa,refs,17
Mansfield:2000aa,refs,17
Mansfield:2002aa,refs,17
Milner:2005aa,refs,17
Jacobson:1997aa,-,18
Tingley:2014aa,refs,18
Donno:2010ab,-,
Kenwick:2015ac,-,
